user,project_name
chatsecure,ChatSecure-iOS
mozilla,firefox-ios
BelledonneCommunications,linphone
mapsme,omim
nextcloud,ios
nextcloud,talk-ios
owncloud,ios
WhisperSystems,Signal-iOS
surespot,surespot-ios
peter-iakovlev,Telegram
applidium,Vim
videolan,vlc-ios
WhiteHouse,wh-app-ios
tderouin,wikiHow-iPhone-Application
wikimedia,apps-ios-wikipedia
wireapp,wire-ios
wordpress-mobile,WordPress-iOS
artsy,eidolon
MengTo,DesignerNewsApp
fullstackio,FlappySwift
lexrus,VPNOn
CatchChat,Yep
hilen,TSWeChat
austinzheng,swift-2048
audiokit,AudioKit
Dimillian,SwiftHN
twitterdev,furni-ios
naoyashiga,Dunk
matthewpalmer,Charter
